datum;helyszin;nev;nem;szuldat;nemzet;helyezes;hiba;csapat;tipus;motor
1953.07.18;Nagy-Britannia;Juan-Manuel Fangio;F;1911.6.24;argentín;2;;Officine Alfieri Maserati;Maserati;Maserati
1957.07.07;Franciaország;Mike MacDowel;F;1932.9.13;brit;7;;Cooper Car Company;Cooper;Climax
1960.07.03;Franciaország;Olivier Gendebien;F;1924.1.12;belga;2;;Yeoman Credit Racing Team;Cooper;Climax
1959.08.02;Németország;Hans Herrmann;F;1928.2.23;német;;karambol;British Racing Partnership;BRM;BRM
1952.09.07;Olaszország;Rudolf Fischer;F;1912.4.19;svájci;;motor;Ecurie Espadon;Ferrari;Ferrari
1952.07.06;Franciaország;Emanuel de Graffenried;F;1914.5.18;svájci;;kiesett;Enrico Plate;Maserati;Plate
1958.07.19;Nagy-Britannia;Mike Hawthorn;F;1929.4.10;brit;2;;Scuderia Ferrari;Ferrari;Ferrari
1959.05.31;Hollandia;Phill Hill;F;1927.4.20;amerikai;6;;Scuderia Ferrari;Ferrari;Ferrari
1951.09.16;Olaszország;Franco Rol;F;1908.6.5;olasz;9;;Osca Automobili;Osca;Osca
1952.05.30;USA;George Connor;F;1908.8.16;amerikai;8;;Federal Auto Associates;Kurtis;Offenhauser
1951.05.30;USA;Mack Hellings;F;1917.9.14;amerikai;;motor;CG Tuffanelli;Deidt;Offenhauser
1956.07.01;Franciaország;Alfonso de Portago;F;1928.10.11;spanyol;;sebességváltó;Scuderia Ferrari;Lancia;Lancia
1955.07.16;Nagy-Britannia;Ken Wharton;F;1916.3.21;brit;9;;Vandervell Products Ltd;Vanwall;Vanwall
1954.10.24;Spanyolország;Luigi Villoresi;F;1909.5.16;olasz;;törés;Scuderia Lancia;Lancia;Lancia
1950.05.13;Nagy-Britannia;Eugene Martin;F;1915.3.24;francia;;olajnyomás;Automobiles Talbot-Darracq SA;Talbot-Lago;Talbot
1956.07.01;Franciaország;Robert Manzon;F;1917.4.12;francia;9;;Equipe Gordini;Gordini;Gordini
1959.05.30;USA;Bob Christie;F;1924.4.4;amerikai;;motor;Leader Cards Inc;Kurtis;Offenhauser
1959.07.05;Franciaország;Maurice Trintignant;F;1917.10.30;francia;11;;Rob Walker Racing Team;Cooper;Climax
1955.05.30;USA;Al Keller;F;1920.4.11;amerikai;;karambol;Kurtis Kraft;Kurtis;Offenhauser
1956.08.05;Németország;Eugenio Castellotti;F;1930.10.10;olasz;;gyújtás;Scuderia Ferrari;Lancia;Lancia
1952.05.30;USA;Henry Banks;F;1913.6.14;amerikai;19;;Lindesy Hopkins;Lesovsky;Offenhauser
1956.09.02;Olaszország;Les Leston;F;1920.12.16;brit;;torziós rúd;Connaught Engineering;Connaught;Alta
1951.05.30;USA;Mauri Rose;F;1906.5.26;amerikai;;karambol;Howard Keck;Deidt;Offenhauser
1958.09.07;Olaszország;Mike Hawthorn;F;1929.4.10;brit;2;;Scuderia Ferrari;Ferrari;Ferrari
1959.07.05;Franciaország;Colin Davis;F;1932.7.29;brit;;olajfolyás;Scuderia Centro Sud;Cooper;Maserati
1951.09.16;Olaszország;Reg Parnell;F;1911.7.2;brit;;motor;British Racing Motors Ltd;BRM;BRM
1953.09.13;Olaszország;Roy Salvadori;F;1922.5.12;brit;;gázadagoló;Connaught Engineering;Connaught;Lea
1950.05.21;Monaco;Prince Birabongse Bhanuban;F;1914.7.15;thaiföldi;5;;Enrico Plate;Maserati;Maserati
1954.01.17;Argentína;Juan-Manuel Fangio;F;1911.6.24;argentín;1;;Officine Alfieri Maserati;Maserati;Maserati
1956.05.30;USA;Paul Russo;F;1914.4.10;amerikai;;karambol;Kurtis Kraft;Kurtis;Novi
1953.05.30;USA;Travis Webb;F;1910.10.8;amerikai;;kiesett;3L Racing Team;Kurtis;Offenhauser
1955.09.11;Olaszország;Jacques Pollet;F;1932.7.2;francia;;motor;Equipe Gordini;Gordini;Gordini
1957.07.07;Franciaország;Luigi Musso;F;1924.7.28;olasz;2;;Scuderia Ferrari;Lancia;Lancia
1953.07.05;Franciaország;Onofre Marimon;F;1923.12.19;argentín;9;;Officine Alfieri Maserati;Maserati;Maserati
1959.07.18;Nagy-Britannia;Trevor Taylor;F;1936.12.26;brit;;kizárták;Ace Garage (Rotherdam);Cooper;Climax
1953.06.21;Belgium;Luigi Villoresi;F;1909.5.16;olasz;2;;Scuderia Ferrari;Ferrari;Ferrari
1952.08.03;Németország;Rudolf Fischer;F;1912.4.19;svájci;3;;Ecurie Espadon;Ferrari;Ferrari
1951.09.16;Olaszország;Yves Giraud-Cabantous;F;1903.10.8;francia;8;;;Talbot-Lago;Talbot
1957.07.07;Franciaország;Juan-Manuel Fangio;F;1911.6.24;argentín;1;;Officine Alfieri Maserati;Maserati;Maserati
1958.07.06;Franciaország;Juan-Manuel Fangio;F;1911.6.24;argentín;4;;;Maserati;Maserati
1960.06.06;Hollandia;Wolfgang von Trips;F;1928.5.4;német;5;;Scuderia Ferrari;Ferrari;Ferrari
1951.05.30;USA;Johnnie Parsons;F;1918.7.4;amerikai;;gyújtás;Ed Walsh;Kurtis;Offenhauser
1955.05.30;USA;Ray Crawford;F;1915.10.26;amerikai;;motor;Kurtis Kraft;Kurtis;Offenhauser
1951.10.28;Spanyolország;A Juan Jover;F;1903.11.23;spanyol;;motor;Scuderia Milano;Maserati;Maserati
1953.08.02;Németország;Rudolf Krause;F;1907.3.30;német;14;;Dora Greifzu;BMW;BMW
1950.05.13;Nagy-Britannia;Giuseppe Farina;F;1906.10.30;olasz;1;;Alfa Romeo SpA;Alfa;Alfa
1957.08.18;Olaszország;Luigi Piotti;F;1913.10.27;olasz;;motor;;Maserati;Maserati
1958.09.07;Olaszország;Gerino Gerini;F;1928.8.10;olasz;;karambol;Scuderia Centro Sud;Maserati;Maserati
1954.05.31;USA;Sam Hanks;F;1914.7.13;amerikai;11;;Kurtis Kraft;Kurtis;Offenhauser
1952.07.06;Franciaország;Prince Birabongse Bhanuban;F;1914.7.15;thaiföldi;;sebességváltó;Equipe Gordini;Gordini;Gordini
1951.05.30;USA;Manny [Manuel] Ayulo;F;1921.10.20;amerikai;3;;Jack Hinkle;Kurtis;Offenhauser
1950.05.13;Nagy-Britannia;Emanuel de Graffenried;F;1914.5.18;svájci;;motor;;Maserati;Maserati
1955.07.16;Nagy-Britannia;Juan-Manuel Fangio;F;1911.6.24;argentín;2;;Daimler Benz AG;Mercedes;Mercedes
1959.12.12;USA;Fritz d' Orey;F;1938.3.25;brazil;;olajfolyás;Camoradi International;Tec-Mec;Maserati
1959.05.30;USA;Pat Flaherty;F;1926.1.6;amerikai;;karambol;Watson;Watson;Offenhauser
1956.06.03;Belgium;Francesco Godia;F;1921.3.21;spanyol;;karambol;Officine Alfieri Maserati;Maserati;Maserati
1956.07.14;Nagy-Britannia;Mike Hawthorn;F;1929.4.10;brit;;olajfolyás;Owen Racing Organisation;BRM;BRM
1950.09.03;Olaszország;Alberto Ascari;F;1918.7.13;olasz;;motor;Scuderia Ferrari;Ferrari;Ferrari
1952.08.17;Hollandia;Lance Macklin;F;1919.9.2;brit;8;;HW Motors;HWM;Alta
1953.01.18;Argentína;Alan Brown;F;1919.11.20;brit;9;;RJ Chase;Cooper;Bristol
1950.05.30;USA;Johnnie Parsons;F;1918.7.4;amerikai;1;;Kurtis Kraft;Kurtis;Offenhauser
1959.08.02;Németország;Dan Gurney;F;1931.4.13;amerikai;2;;Scuderia Ferrari;Ferrari;Ferrari
1958.05.30;USA;Paul Russo;F;1914.4.10;amerikai;;gázadagoló;Kurtis Kraft;Kurtis;Novi
1953.09.13;Olaszország;Ken Wharton;F;1916.3.21;brit;;nem teljesítette a távot;;Cooper;Bristol
1951.07.14;Nagy-Britannia;Louis Chiron;F;1899.8.3;monacoi;;törés;Ecurie Rosier;Talbot-Lago;Talbot
1950.05.30;USA;Bill Cantrell;F;1908.1.31;amerikai;;kiesett;Richard Palmer;Adams;Offenhauser
1956.06.03;Belgium;Cesare Perdisa;F;1932.10.21;olasz;3;;Officine Alfieri Maserati;Maserati;Maserati
1956.08.05;Németország;Francesco Godia;F;1921.3.21;spanyol;4;;Officine Alfieri Maserati;Maserati;Maserati
1959.05.30;USA;Gene Hartley;F;1926.1.28;amerikai;11;;Kuzma;Kuzma;Offenhauser
1950.09.03;Olaszország;Louis Rosier;F;1905.11.5;francia;4;;Ecurie Rosier;Talbot-Lago;Talbot
1952.05.30;USA;Jim Rathmann;F;1928.7.16;amerikai;2;;Grancor Auto;Kurtis;Offenhauser
1952.05.18;Svájc;Giuseppe Farina;F;1906.10.30;olasz;;kiesett;Scuderia Ferrari;Ferrari;Ferrari
1960.05.29;Monaco;Alan Stacey;F;1933.8.29;brit;;motorfelfüggesztés;Team Lotus;Lotus;Climax
1953.09.13;Olaszország;Sergio Mantovani;F;1929.5.22;olasz;7;;Officine Alfieri Maserati;Maserati;Maserati
1955.07.16;Nagy-Britannia;Andre Simon;F;1920.1.5;francia;;sebességváltó;Officine Alfieri Maserati;Maserati;Maserati
1954.07.17;Nagy-Britannia;Leslie Marr;F;1922.8.14;brit;13;;;Connaught;Lea
1955.06.19;Hollandia;Karl Kling;F;1910.9.16;német;;kicsúszás;Daimler Benz AG;Mercedes;Mercedes
1958.08.03;Németország;Cliff Allison;F;1932.2.8;brit;10;;Team Lotus;Lotus;Climax
1960.07.03;Franciaország;Bruce Halford;F;1931.5.18;brit;8;;Yeoman Credit Racing Team;Cooper;Climax
1953.08.02;Németország;Oswald Karch;F;1917.3.6;német;;kiesett;;Veritas;Veritas
1952.05.30;USA;Andy Linden;F;1922.4.5;amerikai;;olajpumpa;Hart Fullerton;Kurtis;Offenhauser
1955.07.16;Nagy-Britannia;Roy Salvadori;F;1922.5.12;brit;;sebességváltó;Gilby Engineering Ltd;Maserati;Maserati
1958.08.03;Németország;Hans Herrmann;F;1928.2.23;német;;motor;Scuderia Centro Sud;Maserati;Maserati
1956.05.30;USA;Jimmy Bryan;F;1927.1.28;amerikai;19;;Kuzma;Kuzma;Offenhauser
1956.07.14;Nagy-Britannia;Roy Salvadori;F;1922.5.12;brit;;benzinnyomás;Gilby Engineering Ltd;Maserati;Maserati
1951.05.27;Svájc;Louis Chiron;F;1899.8.3;monacoi;7;;Enrico Plate;Maserati;Maserati
1960.05.30;USA;A J Foyt;F;1935.1.16;amerikai;;kuplung;Kurtis Kraft;Kurtis;Offenhauser
1951.05.30;USA;Andy Linden;F;1922.4.5;amerikai;4;;George Leitenberger;Sherman;Offenhauser
1959.07.18;Nagy-Britannia;Bruce McLaren;F;1937.8.30;új-zélandi;3;;Cooper Car Company;Cooper;Climax
1951.05.27;Svájc;Henri Louveau;F;1910.1.25;francia;;karambol;Ecurie Rosier;Talbot-Lago;Talbot
1960.05.29;Monaco;John Surtees;F;1934.2.11;brit;;futómû;Team Lotus;Lotus;Climax
1952.05.30;USA;Johnnie Parsons;F;1918.7.4;amerikai;10;;Jim Robbins;Kurtis;Offenhauser
1952.05.30;USA;Manny [Manuel] Ayulo;F;1921.10.20;amerikai;20;;Coast Grain Co;Lesovsky;Offenhauser
1958.07.06;Franciaország;Gerino Gerini;F;1928.8.10;olasz;9;;Scuderia Centro Sud;Maserati;Maserati
1956.08.05;Németország;Andre Pilette;F;1918.10.6;belga;;karambol;Equipe Gordini;Gordini;Gordini
1952.07.06;Franciaország;Mike Hawthorn;F;1929.4.10;brit;;gyújtás;AHM Bryde;Cooper;Bristol
1953.07.05;Franciaország;Louis Chiron;F;1899.8.3;monacoi;15;;;Osca;Osca
1959.07.18;Nagy-Britannia;Jo Bonnier;F;1930.1.31;svéd;;gázadagoló;Owen Racing Organisation;BRM;BRM
1950.06.18;Belgium;Eugene Chaboud;F;1907.4.12;francia;;motor;Ecurie Leutitia;Talbot-Lago;Talbot
1957.05.30;USA;Gene Hartley;F;1926.1.28;amerikai;10;;Lesovsky;Lesovsky;Offenhauser
1952.07.06;Franciaország;Harry Schell;F;1921.6.29;amerikai;;sebességváltó;Enrico Plate;Maserati;Plate
1952.09.07;Olaszország;Jean Behra;F;1921.2.16;francia;;motor;Equipe Gordini;Gordini;Gordini
1958.05.18;Monaco;Peter Collins;F;1931.11.8;brit;3;;Scuderia Ferrari;Ferrari;Ferrari
1954.01.17;Argentína;Roger Loyer;F;1907.8.5;francia;;olajnyomás;Equipe Gordini;Gordini;Gordini
1960.11.20;USA;Bruce McLaren;F;1937.8.30;új-zélandi;3;;Cooper Car Company;Cooper;Climax
1960.06.19;Belgium;Graham Hill;F;1929.2.15;brit;;motor;Owen Racing Organisation;BRM;BRM
1950.05.30;USA;Lee Wallard;F;1911.9.8;amerikai;6;;Lou Moore;Moore;Offenhauser
1960.06.06;Hollandia;Chris Bristow;F;1937.12.2;brit;;motor;Yeoman Credit Racing Team;Cooper;Climax
1957.07.07;Franciaország;Herbert MacKay-Fraser;F;1927.6.23;amerikai;;futómû;Owen Racing Organisation;BRM;BRM
1952.07.19;Nagy-Britannia;Ken Downing;F;1917.12.5;brit;9;;Connaught Engineering;Connaught;Lea
1956.09.02;Olaszország;Robert Manzon;F;1917.4.12;francia;;sebességváltó;Equipe Gordini;Gordini;Gordini
1958.05.30;USA;Dempsey Wilson;F;1927.3.11;amerikai;;tûz;Kuzma;Kuzma;Offenhauser
1957.01.13;Argentína;Stirling Moss;F;1929.9.17;brit;8;;Officine Alfieri Maserati;Maserati;Maserati
1954.06.20;Belgium;Roberto Mieres;F;1924.12.3;argentín;;tûz;;Maserati;Maserati
1953.08.02;Németország;Alberto Ascari;F;1918.7.13;olasz;8;;Scuderia Ferrari;Ferrari;Ferrari
1960.05.30;USA;Gene Hartley;F;1926.1.28;amerikai;14;;Kurtis Kraft;Kurtis;Offenhauser
1951.05.27;Svájc;Emanuel de Graffenried;F;1914.5.18;svájci;5;;Alfa Romeo SpA;Alfa;Alfa
1958.05.26;Hollandia;Horace Gould;F;1921.9.20;brit;;kizárták;Horace Gould;Maserati;Maserati
1955.01.16;Argentína;Luigi Villoresi;F;1909.5.16;olasz;;benzinfolyás;Scuderia Lancia;Lancia;Lancia
1959.05.10;Monaco;Jack Brabham;F;1926.4.2;ausztrál;1;;Cooper Car Company;Cooper;Climax
1953.08.02;Németország;Juan-Manuel Fangio;F;1911.6.24;argentín;2;;Officine Alfieri Maserati;Maserati;Maserati
1952.07.19;Nagy-Britannia;Peter Collins;F;1931.11.8;brit;;gyújtás;HW Motors;HWM;Alta
1953.09.13;Olaszország;Elie Bayol;F;1914.2.28;francia;;motor;OSCA Automobili;Osca;Osca
1953.05.30;USA;Bob Scott;F;1928.10.4;amerikai;;olajfolyás;Louis and Bruce Bromme;Bromme;Offenhauser
1953.08.23;Svájc;Louis Chiron;F;1899.8.3;monacoi;;nem rajtolt el;;Osca;Osca
1952.08.17;Hollandia;Dries van der Lof;F;1919.8.23;holland;;nem teljesítette a távot;HW Motors;HWM;Alta
1958.08.24;Portugália;Stirling Moss;F;1929.9.17;brit;1;;Vandervell Products Ltd;Vanwall;Vanwall
1955.07.16;Nagy-Britannia;Peter Walker;F;1912.10.7;brit;;kiesett;Rob Walker Racing Team;Connaught;Alta
1956.07.01;Franciaország;Peter Collins;F;1931.11.8;brit;1;;Scuderia Ferrari;Lancia;Lancia
1960.11.20;USA;Ian Burgess;F;1930.7.6;brit;;gyújtás;Scuderia Centro Sud;Cooper;Maserati
1955.05.22;Monaco;Louis Chiron;F;1899.8.3;monacoi;6;;Scuderia Lancia;Lancia;Lancia
1950.05.30;USA;Fred Agabashian;F;1913.8.21;amerikai;;kiesett;Indianapolis Race Cars;Kurtis;Offenhauser
1959.08.02;Németország;Graham Hill;F;1929.2.15;brit;;olajteknõ;Team Lotus;Lotus;Climax
1954.10.24;Spanyolország;Sergio Mantovani;F;1929.5.22;olasz;;törés;Officine Alfieri Maserati;Maserati;Maserati
1953.07.18;Nagy-Britannia;Bob Gerard;F;1914.1.19;brit;;kiállás;;Cooper;Bristol
1960.05.29;Monaco;Masten Gregory;F;1932.2.29;amerikai;;kizárták;Scuderia Centro Sud;Cooper;Maserati
1959.05.30;USA;Al Keller;F;1920.4.11;amerikai;;motor;Kuzma;Kuzma;Offenhauser
1959.05.30;USA;Paul Goldsmith;F;1927.10.2;amerikai;5;;Epperly;Epperly;Offenhauser
1956.07.01;Franciaország;Mike Hawthorn;F;1929.4.10;brit;10;;Vandervell Products Ltd;Vanwall;Vanwall
1957.08.04;Németország;Dick Gibson;F;1918.4.16;brit;;kormány;;Cooper;Climax
1951.05.27;Svájc;Peter Whitehead;F;1914.11.12;brit;;karambol;Scuderia Ferrari;Ferrari;Ferrari
1953.07.18;Nagy-Britannia;Lance Macklin;F;1919.9.2;brit;;kuplung;HW Motors;HWM;Alta
1959.07.05;Franciaország;Astrubel Bayardo;F;1922.1.1;uruguayi;;kizárták;Scuderia Centro Sud;Maserati;Maserati
1960.07.16;Nagy-Britannia;Innes Ireland;F;1930.12.16;brit;3;;Team Lotus;Lotus;Climax
1953.07.18;Nagy-Britannia;Peter Whitehead;F;1914.11.12;brit;9;;Atlantic Stable;Cooper;Alta
1959.05.30;USA;Jimmy Daywalt;F;1924.8.28;amerikai;14;;Leader Cards Inc;Kurtis;Offenhauser
1950.07.02;Franciaország;David Hampshire;F;1917.12.29;brit;;motor;Scuderia Ambrosiana;Maserati;Maserati
1958.07.19;Nagy-Britannia;Jean Behra;F;1921.2.16;francia;;defekt;Owen Racing Organisation;BRM;BRM
1960.05.30;USA;Johnny Thomson;F;1919.11.4;brit;5;;Lesovsky;Lesovsky;Offenhauser
1955.05.30;USA;Jimmy Bryan;F;1927.1.28;amerikai;;benzinpumpa;Kuzma;Kuzma;Offenhauser
1954.08.01;Németország;Ken Wharton;F;1916.3.21;brit;;visszalépés;Owen Racing Organisation;Maserati;Maserati
1958.08.03;Németország;Jean Behra;F;1921.2.16;francia;;kiállás;Owen Racing Organisation;BRM;BRM
1960.07.03;Franciaország;Jim Clark;F;1936.3.4;skót;5;;Team Lotus;Lotus;Climax
1960.06.19;Belgium;Chuck Daigh;F;1923.11.29;amerikai;;motor;Reventlow Automobiles Inc;Scarab;Scarab
1956.09.02;Olaszország;Roy Salvadori;F;1922.5.12;brit;11;;Gilby Engineering Ltd;Maserati;Maserati
1959.05.30;USA;Rodger Ward;F;1921.1.10;amerikai;1;;Watson;Watson;Offenhauser
1955.01.16;Argentína;Maurice Trintignant;F;1917.10.30;francia;2;;Scuderia Ferrari;Ferrari;Ferrari
1953.01.18;Argentína;Alberto Ascari;F;1918.7.13;olasz;1;;Scuderia Ferrari;Ferrari;Ferrari
1959.12.12;USA;Bob Said;F;1932.5.5;amerikai;;túlhajtás;Connaught Cars / Paul Emery;Connaught;Alta
1950.05.21;Monaco;Peter Whitehead;F;1914.11.12;brit;;motor;;Ferrari;Ferrari
1956.05.30;USA;Sam Hanks;F;1914.7.13;amerikai;2;;Kurtis Kraft;Kurtis;Offenhauser
1958.05.18;Monaco;Andre Testut;F;1926.4.13;monacoi;;kizárták;Andre Testut;Maserati;Maserati
1950.05.13;Nagy-Britannia;Philippe Etancelin;F;1896.12.28;francia;8;;;Talbot-Lago;Talbot
1954.01.17;Argentína;Harry Schell;F;1921.6.29;amerikai;6;;;Maserati;Maserati
1956.05.30;USA;Bob Christie;F;1924.4.4;amerikai;13;;Kurtis Kraft;Kurtis;Offenhauser
1958.08.24;Portugália;Maurice Trintignant;F;1917.10.30;francia;8;;Rob Walker Racing Team;Cooper;Climax
1954.07.04;Franciaország;Jean Behra;F;1921.2.16;francia;6;;Equipe Gordini;Gordini;Gordini
1952.07.19;Nagy-Britannia;Alan Brown;F;1919.11.20;brit;22;;Ecurie Richmond;Cooper;Bristol
1953.09.13;Olaszország;Jack Fairman;F;1913.3.15;brit;;nem teljesítette a távot;Connaught Engineering;Connaught;Lea
1955.05.30;USA;Ed Elisian;F;1926.12.9;amerikai;;kiesett;Kurtis Kraft;Kurtis;Offenhauser
1951.07.01;Franciaország;Aldo Gordini;F;1921.5.20;francia;;motor;Equipe Gordini;Simca-Gordini;Simca-Gordini
1952.08.03;Németország;Johnny Claes;F;1916.8.11;belga;10;;HW Motors;HWM;Alta
1953.08.23;Svájc;Mike Hawthorn;F;1929.4.10;brit;3;;Scuderia Ferrari;Ferrari;Ferrari
1955.01.16;Argentína;Giuseppe Farina;F;1906.10.30;olasz;3;;Scuderia Ferrari;Ferrari;Ferrari
1957.08.18;Olaszország;Bruce Halford;F;1931.5.18;brit;;differenciálmû;;Maserati;Maserati
1951.07.29;Németország;Maurice Trintignant;F;1917.10.30;francia;;motor;Equipe Gordini;Simca-Gordini;Simca-Gordini
1954.07.04;Franciaország;Paul Frere;F;1917.1.30;belga;;sebességváltó;Equipe Gordini;Gordini;Gordini
1951.07.01;Franciaország;Louis Rosier;F;1905.11.5;francia;;sebességváltó;Ecurie Rosier;Talbot-Lago;Talbot
1955.05.22;Monaco;Roberto Mieres;F;1924.12.3;argentín;;sebességváltó;Officine Alfieri Maserati;Maserati;Maserati
1960.06.19;Belgium;Alan Stacey;F;1933.8.29;brit;;karambol;Team Lotus;Lotus;Climax
1959.05.10;Monaco;Jean Behra;F;1921.2.16;francia;;motor;Scuderia Ferrari;Ferrari;Ferrari
1951.07.29;Németország;Paul Pietsch;F;1911.6.20;német;;karambol;Alfa Romeo SpA;Alfa;Alfa
1956.07.14;Nagy-Britannia;Maurice Trintignant;F;1917.10.30;francia;;benzinfolyás;Vandervell Products Ltd;Vanwall;Vanwall
1956.07.01;Franciaország;Harry Schell;F;1921.6.29;amerikai;;motor;Vandervell Products Ltd;Vanwall;Vanwall
1954.08.01;Németország;Jean Behra;F;1921.2.16;francia;10;;Equipe Gordini;Gordini;Gordini
1954.07.17;Nagy-Britannia;Luigi Villoresi;F;1909.5.16;olasz;;kiesett;Officine Alfieri Maserati;Maserati;Maserati
1953.06.21;Belgium;Juan-Manuel Fangio;F;1911.6.24;argentín;;kiesett;Officine Alfieri Maserati;Maserati;Maserati
1952.08.03;Németország;Hans Klenk;F;1919.10.18;német;11;;;Veritas;Veritas
1959.07.18;Nagy-Britannia;Chris Bristow;F;1937.12.2;brit;10;;British Racing Partnership;Cooper;Borgward
1953.08.02;Németország;Jean Behra;F;1921.2.16;francia;;sebességváltó;Equipe Gordini;Gordini;Gordini
1954.08.22;Svájc;Juan-Manuel Fangio;F;1911.6.24;argentín;1;;Daimler Benz AG;Mercedes;Mercedes
1959.07.18;Nagy-Britannia;Mike Parkes;F;1931.9.24;brit;;kizárták;David Fry;Fry;Climax
1952.09.07;Olaszország;Ken Wharton;F;1916.3.21;brit;9;;Scuderia Franera;Cooper;Bristol
1953.06.21;Belgium;Mike Hawthorn;F;1929.4.10;brit;6;;Scuderia Ferrari;Ferrari;Ferrari
1959.07.05;Franciaország;Harry Schell;F;1921.6.29;amerikai;7;;Owen Racing Organisation;BRM;BRM
1955.09.11;Olaszország;Karl Kling;F;1910.9.16;német;;sebességváltó;Daimler Benz AG;Mercedes;Mercedes
1953.08.23;Svájc;Fred Wacker;F;1918.7.10;amerikai;;nem azonosított;Equipe Gordini;Gordini;Gordini
1953.08.23;Svájc;Juan-Manuel Fangio;F;1911.6.24;argentín;;kiesett;Officine Alfieri Maserati;Maserati;Maserati
1955.05.30;USA;Johnny Boyd;F;1926.8.19;amerikai;;karambol;Kurtis Kraft;Kurtis;Offenhauser
1950.07.02;Franciaország;Juan-Manuel Fangio;F;1911.6.24;argentín;1;;Alfa Romeo SpA;Alfa;Alfa
1956.08.05;Németország;Robert Manzon;F;1917.4.12;francia;;kiállás;Equipe Gordini;Gordini;Gordini
1951.10.28;Spanyolország;Robert Manzon;F;1917.4.12;francia;9;;Equipe Gordini;Simca-Gordini;Simca-Gordini
1956.07.14;Nagy-Britannia;Ron Flockhart;F;1923.6.16;brit;;motor;Owen Racing Organisation;BRM;BRM
1958.05.18;Monaco;Jo Bonnier;F;1930.1.31;svéd;;karambol;Officine Alfieri Maserati;Maserati;Maserati
1950.05.30;USA;Paul Russo;F;1914.4.10;amerikai;9;;Paul Russo;Nichels;Offenhauser
1952.08.17;Hollandia;Ken Wharton;F;1916.3.21;brit;;kerék;Scuderia Franera;Frazer-Nash;Bristol
1957.07.20;Nagy-Britannia;Horace Gould;F;1921.9.20;brit;;karambol;;Maserati;Maserati
1950.09.03;Olaszország;Paul Pietsch;F;1911.6.20;német;;motor;;Maserati;Maserati
1959.05.30;USA;Johnny Boyd;F;1926.8.19;amerikai;6;;Epperly;Epperly;Offenhauser
1955.06.19;Hollandia;Robert Manzon;F;1917.4.12;francia;;sebességváltó;Equipe Gordini;Gordini;Gordini
1950.05.13;Nagy-Britannia;Geoff Crossley;F;1921.5.11;brit;;futómû;;Alta;Alta
1958.01.19;Argentína;Horace Gould;F;1921.9.20;brit;9;;Horace Gould;Maserati;Maserati
1954.01.17;Argentína;Onofre Marimon;F;1923.12.19;argentín;;motor;Officine Alfieri Maserati;Maserati;Maserati
1950.05.21;Monaco;Maurice Trintignant;F;1917.10.30;francia;;karambol;Equipe Gordini;Simca-Gordini;Simca-Gordini
1957.01.13;Argentína;Juan-Manuel Fangio;F;1911.6.24;argentín;1;;Officine Alfieri Maserati;Maserati;Maserati
1959.07.18;Nagy-Britannia;Brian Naylor;F;1923.3.24;brit;;futómû;JB Naylor;JBW;Maserati
1953.08.02;Németország;Felice Bonetto;F;1903.6.9;olasz;4;;Officine Alfieri Maserati;Maserati;Maserati
1953.08.23;Svájc;Emanuel de Graffenried;F;1914.5.18;svájci;;vezérmûtengely;;Maserati;Maserati
1958.05.18;Monaco;Ken Kavanagh;F;1923.12.12;ausztrál;;kizárták;Ken Kavanagh;Maserati;Maserati
1960.02.07;Argentína;Jose-Froilan Gonzalez;F;1922.10.5;argentín;10;;Scuderia Ferrari;Ferrari;Ferrari
1952.08.03;Németország;Bernd Nacke;F;1921.12.21;német;;gyújtás;BMW;BMW;BMW
1952.07.06;Franciaország;Louis Rosier;F;1905.11.5;francia;;motor;Ecurie Rosier;Ferrari;Ferrari
1959.05.30;USA;Red Amick;F;1929.1.19;amerikai;;karambol;Leader Cards Inc;Kurtis;Offenhauser
1960.05.29;Monaco;Giorgio Scarlatti;F;1921.10.2;olasz;;kizárták;Scuderia Castellotti;Cooper;Castellotti
1956.07.14;Nagy-Britannia;Peter Collins;F;1931.11.8;brit;;olajnyomás;Scuderia Ferrari;Lancia;Lancia
1953.06.07;Hollandia;Juan-Manuel Fangio;F;1911.6.24;argentín;;sebességváltó;Officine Alfieri Maserati;Maserati;Maserati
1952.09.07;Olaszország;Andre Simon;F;1920.1.5;francia;6;;Scuderia Ferrari;Ferrari;Ferrari
1952.08.03;Németország;Piero Taruffi;F;1906.10.12;olasz;4;;Scuderia Ferrari;Ferrari;Ferrari
1958.08.24;Portugália;Tony Brooks;F;1932.2.25;brit;;karambol;Vandervell Products Ltd;Vanwall;Vanwall
1955.05.30;USA;Art Cross;F;1918.1.24;amerikai;;motor;Kurtis Kraft;Kurtis;Offenhauser
1953.09.13;Olaszország;John Fitch;F;1917.8.4;amerikai;;motor;HW Motors;HWM;Alta
1954.10.24;Spanyolország;Prince Birabongse Bhanuban;F;1914.7.15;thaiföldi;9;;Prince Bira;Maserati;Maserati
1951.09.16;Olaszország;Robert Manzon;F;1917.4.12;francia;;motor;Equipe Gordini;Simca-Gordini;Simca-Gordini
1958.05.18;Monaco;Francesco Godia;F;1921.3.21;spanyol;;kizárták;Francesco Godia-Sales;Maserati;Maserati
1953.05.30;USA;Andy Linden;F;1922.4.5;amerikai;;kiesett;John Zink;Kurtis;Offenhauser
1952.05.18;Svájc;Giuseppe Farina;F;1906.10.30;olasz;;gyújtás;Scuderia Ferrari;Ferrari;Ferrari
